City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
133,Georgetown,MY,2021-04-04 21:30:13,5.4112,100.3354,84.0,89,20,3.67,few clouds
134,Geraldton,AU,2021-04-04 21:31:46,-28.7667,114.6,69.8,88,40,5.75,scattered clouds
135,Alice Springs,AU,2021-04-04 21:31:46,-23.7,133.8833,57.2,72,0,5.75,clear sky
136,Salalah,OM,2021-04-04 21:31:46,17.0151,54.0924,80.6,78,0,4.61,clear sky
137,Namatanai,PG,2021-04-04 21:31:46,-3.6667,152.4333,79.45,81,91,3.51,overcast clouds
138,Brookhaven,US,2021-04-04 21:31:47,31.5791,-90.4407,73.4,35,1,9.22,clear sky
139,San,ML,2021-04-04 21:30:02,13.3034,-4.8956,90.09,6,9,9.1,clear sky
140,Clyde River,CA,2021-04-04 21:31:47,70.4692,-68.5914,-11.2,77,1,9.22,clear sky
141,Pangnirtung,CA,2021-04-04 21:31:48,66.1451,-65.7125,10.4,67,20,5.75,few clouds
142,Puerto Ayora,EC,2021-04-04 21:31:48,-0.7393,-90.3518,84.2,70,20,13.8,few clouds
143,Vardo,NO,2021-04-04 21:31:48,70.3705,31.1107,36.5,88,100,17.74,overcast clouds
144,Surt,LY,2021-04-04 21:31:49,31.2089,16.5887,68.68,58,86,5.68,overcast clouds
145,Coquimbo,CL,2021-04-04 21:29:28,-29.9533,-71.3436,66.2,59,20,9.22,few clouds
146,Maihar,IN,2021-04-04 21:31:49,24.2667,80.75,77.43,8,0,2.62,clear sky
147,Zhezkazgan,KZ,2021-04-04 21:31:49,47.8043,67.7144,37.72,95,100,13.82,overcast clouds
148,Buckeye,US,2021-04-04 21:31:50,33.3703,-112.5838,100.99,6,9,7.61,clear sky
149,Neuquen,AR,2021-04-04 21:30:22,-38.9516,-68.0591,87.8,35,20,8.05,few clouds
150,Koygorodok,RU,2021-04-04 21:31:50,60.445,50.9968,22.28,99,71,2.44,broken clouds
151,Matata,NZ,2021-04-04 21:31:50,-37.8833,176.75,70.0,57,50,1.01,scattered clouds
152,Palmer,US,2021-04-04 21:31:48,42.1584,-72.3287,59.0,23,1,18.41,clear sky
153,Nova Soure,BR,2021-04-04 21:31:51,-11.2333,-38.4833,78.44,60,33,16.91,scattered clouds
154,Lethem,GY,2021-04-04 21:31:51,3.3803,-59.7968,87.8,66,20,11.5,moderate rain
155,Puerto Leguizamo,CO,2021-04-04 21:31:52,-0.1934,-74.7819,72.28,98,100,2.73,overcast clouds
156,San Ramon,US,2021-04-04 21:27:38,37.7799,-121.978,66.99,45,1,6.91,clear sky
157,Venado Tuerto,AR,2021-04-04 21:31:52,-33.7456,-61.9688,82.99,63,15,4.0,light rain
158,Cabo San Lucas,MX,2021-04-04 21:29:11,22.8909,-109.9124,91.4,19,1,24.16,clear sky
159,Kankan,GN,2021-04-04 21:31:53,10.3854,-9.3057,88.39,21,52,4.16,broken clouds
160,Raudeberg,NO,2021-04-04 21:31:53,61.9875,5.1352,28.99,78,100,23.47,light snow
161,Ossora,RU,2021-04-04 21:31:53,59.2353,163.0719,18.55,89,100,24.25,light snow
162,Muroto,JP,2021-04-04 21:31:54,33.2833,134.15,57.2,62,75,21.85,broken clouds
163,Ermelo,ZA,2021-04-04 21:31:54,-26.5333,29.9833,52.41,62,0,2.26,clear sky
164,Prince Rupert,CA,2021-04-04 21:31:54,54.3161,-130.3201,42.8,70,90,5.75,overcast clouds
165,Vallenar,CL,2021-04-04 21:31:55,-28.5708,-70.7581,75.02,42,74,7.23,broken clouds
166,Parrita,CR,2021-04-04 21:31:55,9.5201,-84.3225,80.6,57,20,20.71,few clouds
167,San Cristobal,VE,2021-04-04 21:31:55,7.7669,-72.225,82.4,69,40,10.36,scattered clouds
168,Bud,US,2021-04-04 21:31:56,39.447,-86.1758,73.99,33,1,8.46,clear sky
169,Dikson,RU,2021-04-04 21:31:56,73.5069,80.5464,5.77,90,99,6.4,overcast clouds
170,Inuvik,CA,2021-04-04 21:31:56,68.3499,-133.7218,14.0,67,100,5.75,light snow
